,State,Maths %,Science %
170622,AN,0.0,27.27
171771,AN,1.67,44.64
170610,AN,3.33,47.27
169987,AN,3.39,30.91
170612,AN,5.0,52.73
170611,AN,5.08,17.86
170613,AN,5.08,57.14
169847,AN,6.67,33.93
169652,AN,6.78,10.71
169805,AN,8.33,23.21
171626,AN,8.33,17.86
170208,AN,8.47,7.14
171117,AN,8.47,19.64
170596,AN,10.0,27.1
170212,AN,10.17,34.55
170441,AN,10.17,29.09
170937,AN,11.67,26.79
170683,AN,11.67,30.36
171466,AN,11.86,18.18
171818,AN,11.86,7.27
169709,AN,11.86,49.09
171048,AN,11.86,30.36
171120,AN,11.86,23.21
170911,AN,12.35,25.0
171777,AN,13.33,33.93
170112,AN,13.33,21.82
170804,AN,13.33,14.29
170980,AN,13.33,23.64
170144,AN,13.33,19.64
170190,AN,13.33,32.73
170689,AN,13.33,35.71
171819,AN,13.33,46.43
171294,AN,13.33,52.73
170991,AN,13.33,47.27
170036,AN,13.33,46.43
170790,AN,13.33,56.36
171313,AN,13.56,17.86
170616,AN,13.56,46.43
170711,AN,13.56,27.27
170686,AN,13.56,16.36
170803,AN,13.56,36.36
169773,AN,13.56,32.73
169459,AN,13.56,52.73
170158,AN,15.0,33.93
171621,AN,15.0,32.14
170714,AN,15.0,23.21
170693,AN,15.0,30.36
169990,AN,15.0,48.21
170559,AN,15.0,30.36
169572,AN,15.0,12.5
169806,AN,15.0,32.14
170555,AN,15.0,33.93
169568,AN,15.0,25.0
170505,AN,15.0,34.55
169787,AN,15.0,40.0
171608,AN,15.0,25.0
171523,AN,15.0,60.71
171280,AN,15.0,49.09
171723,AN,15.0,45.45
169952,AN,15.25,14.55
170945,AN,15.25,29.09
171248,AN,15.25,36.36
169609,AN,15.25,25.45
169455,AN,15.25,31.51
171574,AN,15.25,37.58
170443,AN,15.25,43.64
169602,AN,15.25,47.27
170263,AN,15.25,26.79
170682,AN,15.25,34.55
169567,AN,15.25,32.73
170431,AN,15.25,41.82
171527,AN,16.67,18.99
171282,AN,16.67,27.27
170020,AN,16.67,10.71
170160,AN,16.67,25.0
171863,AN,16.67,37.5
170255,AN,16.67,25.45
171867,AN,16.67,32.14
169844,AN,16.67,55.36
170753,AN,16.67,28.57
171174,AN,16.67,69.64
170558,AN,16.67,30.36
170283,AN,16.67,34.55
170279,AN,16.67,34.55
170211,AN,16.67,32.73
169958,AN,16.67,30.36
171286,AN,16.67,47.27
170760,AN,16.95,25.0
170912,AN,16.95,47.27
170318,AN,16.95,35.71
171049,AN,16.95,23.64
169569,AN,16.95,23.64
170021,AN,16.95,29.09
169786,AN,16.95,37.5
169979,AN,16.95,56.36
170910,AN,16.95,34.55
170916,AN,16.95,27.27
170383,AN,16.95,30.91
169571,AN,16.95,16.36
171122,AN,16.95,32.14
170690,AN,16.95,30.91
169817,AN,16.95,27.27
170914,AN,16.95,34.55
170621,AN,16.95,60.71
170214,AN,16.95,12.5
169792,AN,16.95,23.21
171701,AN,16.95,57.14
170521,AN,18.33,32.73
171602,AN,18.33,26.79
170590,AN,18.33,32.14
171865,AN,18.33,62.5
171705,AN,18.33,25.45
170710,AN,18.33,28.57
171817,AN,18.33,28.57
170465,AN,18.33,32.14
169535,AN,18.33,33.93
171070,AN,18.33,25.0
169539,AN,18.33,26.79
170519,AN,18.33,30.91
170802,AN,18.33,25.0
